url,image_url
https://vkusvill.ru/goods/ays-kofeynyy-napitok-s-molokom-dekaf-300-ml-kafe-113222.html,https://img.vkusvill.ru/pim/images/site/site/37511e39-ac6a-4349-a8c8-458edcdd3139.jpg
https://vkusvill.ru/goods/napitok-tselebnyy-sbor-1-l-22807.html,https://img.vkusvill.ru/pim/images/site/site/d1b4e615-e681-4759-856e-728026c972b5.jpg
https://vkusvill.ru/goods/smuzi-s-klubnikoy-300-ml-kafe-69703.html,https://img.vkusvill.ru/pim/images/site/a00d1958-c4eb-4218-a03a-74f78c7cbf57.jpg?1719342722.1901
https://vkusvill.ru/goods/limonad-lapochka-greypfrut-limon-kafe-65112.html,https://img.vkusvill.ru/pim/images/site/e1710b13-7b1e-40e2-be1e-91d37944cf63.jpg?1742478403.0103
https://vkusvill.ru/goods/kokteyl-bezalkogolnyy-kir-royal-gaz-500-ml-114082.html,https://img.vkusvill.ru/pim/images/site/site/dc22cdde-9590-4f8c-a816-2432d146f67e.jpg
https://vkusvill.ru/goods/napitok-na-chaynom-gribe-s-lavandoy-i-shelkovitsey-350-ml-98415.html,https://img.vkusvill.ru/pim/images/site/site/0c777acc-3611-42c3-94d1-b1ece5973acd.jpg
https://vkusvill.ru/goods/kombucha-granat-330-ml-100731.html,https://img.vkusvill.ru/pim/images/site/site/75c12f4b-f840-4a5c-bb2a-f501415990f2.jpg
https://vkusvill.ru/goods/napitok-chay-zelenaya-matcha-na-yablochnom-soke-negaz-330-ml-105362.html,https://img.vkusvill.ru/pim/images/site/site/3f0c0a6b-5a34-4cd9-a922-775747472353.jpg
https://vkusvill.ru/goods/kvas-traditsionnyy-1-l-76682.html,https://img.vkusvill.ru/pim/images/site/site/6d1a604d-53e6-4bb0-b961-c479a2161922.jpg
https://vkusvill.ru/goods/limonad-limon-320-ml-112688.html,https://img.vkusvill.ru/pim/images/site/site/616b65a5-be50-4fa3-8083-954cb1a3c828.jpg
https://vkusvill.ru/goods/kvas-borodinskiy-nefiltrovannyy-1-42-l-112898.html,https://img.vkusvill.ru/pim/images/site/site/4d44dcba-44ec-43f3-959b-d363f72de122.jpg
https://vkusvill.ru/goods/desert-smuzi-mango-sheyk-50973.html,https://img.vkusvill.ru/pim/images/site/7e595188-7774-4fb1-ac6d-a90d53e069b2.jpg?1665396726.6771
https://vkusvill.ru/goods/pivo-klaustaler-oridzhinal-bezalkogolnoe-svetloe-filtr-330-ml-74258.html,https://img.vkusvill.ru/pim/images/site/site/da6df53f-84e5-4401-8573-70070744a010.jpg
https://vkusvill.ru/goods/ays-latte-matcha-0-3-na-funduchnom-napitke-kafe-96931.html,https://img.vkusvill.ru/pim/images/site/2c89f86c-8350-4653-8275-714dd7112f06.jpg?1721725791.7809
https://vkusvill.ru/goods/smuzi-banan-mango-apelsin-na-yablochnoy-osnove-250-ml-62450.html,https://img.vkusvill.ru/pim/images/site/52dade18-0fea-4d55-b356-edcf2c34b453.jpg?1715843299.3643
https://vkusvill.ru/goods/napitok-vishnevyy-s-myatoy-95205.html,https://img.vkusvill.ru/pim/images/site/site/a6c6184f-9dc5-4810-a828-91fdddcf98fc.jpg
https://vkusvill.ru/goods/smuzi-klubnika-banan-51001.html,https://img.vkusvill.ru/pim/images/site/ba4cf3c8-b534-47cc-9170-6e28d4535ca1.jpg?1665397025.1272
https://vkusvill.ru/goods/napitok-vkus-tsitrus-bezalkogolnyy-gazirovannyy-1-l-83040.html,https://img.vkusvill.ru/pim/images/site/site/03a2cfc2-d60a-4535-be7d-c48d187a8457.jpg
https://vkusvill.ru/goods/kisel-oblepikha-500-ml-90645.html,https://img.vkusvill.ru/pim/images/site/site/792093a0-5d24-484a-8a8c-064b22c98c01.jpg
https://vkusvill.ru/goods/sok-apelsinovyy-pryamogo-otzhima-1-l-24116.html,https://img.vkusvill.ru/pim/images/site/585cbd6d-6374-40ec-b5a0-23baa2936f3b.jpg?1714053616.7477
https://vkusvill.ru/goods/voda-mineralnaya-legenda-gor-arkhyz-negaz-5-l-48589.html,https://img.vkusvill.ru/pim/images/site/ade6255c-b413-4bb3-baaa-abcdb543d328.jpg?1704488857.9475
https://vkusvill.ru/goods/limonad-tonik-klassicheskiy-330ml-kafe-96433.html,https://img.vkusvill.ru/pim/images/site/site/9a7827ec-2d8b-4b49-a575-0f4e8da651d1.jpg
https://vkusvill.ru/goods/napitok-obogashchennyy-vitaminami-so-vkusom-mango-marakuyya-500-ml-95502.html,https://img.vkusvill.ru/pim/images/site/site/04e201d2-644d-40f1-9e3c-fa2cded51c9d.jpg
https://vkusvill.ru/goods/chaynyy-napitok-brusnika-ezhevika-i-pryanosti-zam-105064.html,https://img.vkusvill.ru/pim/images/site/f1dafffd-8ee6-4c43-9167-27989df8078e.jpg?1738963355.0685
https://vkusvill.ru/goods/napitok-kofeynyy-amerikano-zh-b-245-ml-110122.html,https://img.vkusvill.ru/pim/images/site/site/5f5bf81f-3048-4ab3-8b1a-79ce29f89457.jpg
https://vkusvill.ru/goods/napitok-shorli-yablochnyy-serbiya-400-ml-69793.html,https://img.vkusvill.ru/pim/images/site/e14105c2-7a9a-4044-9c99-4aeaca1283d5.png?1717075536.3676
https://vkusvill.ru/goods/napitok-shorli-yablochnyy-s-laymom-i-badyanom-330-ml-93906.html,https://img.vkusvill.ru/pim/images/site/site/33e95bac-1998-4899-98f7-b36421cf08da.jpg
https://vkusvill.ru/goods/napitok-malina-gibiskus-na-yablochnom-soke-gaz-330-ml-90251.html,https://img.vkusvill.ru/pim/images/site/d26b4c5e-e754-4485-8276-877dd19a12f3.jpg?1740871456.0509
https://vkusvill.ru/goods/voda-mineralnaya-borjomi-gazirovannaya-s-b-500-ml-33135.html,https://img.vkusvill.ru/pim/images/site/88074b46-0150-481f-ae17-b267b914ac80.jpeg?1722268034.5286
https://vkusvill.ru/goods/sok-apelsinovyy-pryamogo-otzhima-1l-104508.html,https://img.vkusvill.ru/pim/images/site/2ac267ab-aac8-4f23-bc10-16d838c9d3a7.jpg?1737960981.4064
https://vkusvill.ru/goods/napitok-solodovyy-fermentirovannyy-s-sokom-ezheviki-zh-b-330-ml-110123.html,https://img.vkusvill.ru/pim/images/site/site/ba8da89b-2b41-4969-8984-e52988eef771.jpg
https://vkusvill.ru/goods/napitok-sokosoderzhashchiy-persikovyy-s-kollagenom-kafe-82779.html,https://img.vkusvill.ru/pim/images/site/site/df89b8bf-c6f4-4cbf-921f-e62764d0e501.jpg
https://vkusvill.ru/goods/sok-ananasovyy-pryamogo-otzhima-250ml-104510.html,https://img.vkusvill.ru/pim/images/site/f7ee8679-6b42-4b6c-9953-e05cec3fd6f8.jpg?1738938379.3218
https://vkusvill.ru/goods/sok-pryamogo-otzhima-morkovnyy-500-ml-kafe-38478.html,https://img.vkusvill.ru/pim/images/site/site/ad3188a5-97ae-4df0-bc70-5aa18033dc10.jpg
https://vkusvill.ru/goods/kvas-khlebnyy-1-l-16134.html,https://img.vkusvill.ru/pim/images/site/e784ffa7-1e99-48b5-8021-e44e271bdb68.jpg?1705100174.6916
