ingredient,match_title,match_url,match_category,match_subcategory,score,reasons
Брусника,"Варенье ""Домашнее"" брусника - апельсин",https://vkusvill.ru/goods/varene-domashnee-brusnika-apelsin-19821.html,Консервация,"Варенье, джемы, пюре",2.7482,"{'title_overlap': 0.25, 'vec_sim': 0.5546, 'fuzzy': 1.0}"
Брусника,Смесь Green Ягодный морс клюква брусника красная смородина замороженная,https://vkusvill.ru/goods/smes-green-yagodnyy-mors-klyukva-brusnika-krasnaya-smorodina-zamorozhennaya-300-g-90372.html,Замороженные ягоды,Замороженные ягоды,2.3895,"{'title_overlap': 0.1111, 'vec_sim': 0.4324, 'fuzzy': 1.0}"
Брусника,Варенье черника-брусника,https://vkusvill.ru/goods/varene-chernika-brusnika-105770.html,Консервация,"Варенье, джемы, пюре",2.3828,"{'title_overlap': 0.3333, 'vec_sim': 0.7219, 'fuzzy': 0.5}"
Брусника,Брусника Планета Витаминов замороженная,https://vkusvill.ru/goods/brusnika-planeta-vitaminov-zamorozhennaya-250-g-99057.html,Замороженные ягоды,Замороженные ягоды,2.3705,"{'title_overlap': 0.25, 'vec_sim': 0.3447, 'fuzzy': 1.0}"
Брусника,"Комбуча ""Клюква-брусника с мятой""",https://vkusvill.ru/goods/kombucha-klyukva-brusnika-s-myatoy-350-ml-91196.html,Напитки,"Смузи, комбуча и кисель",2.2489,"{'title_overlap': 0.2, 'vec_sim': 0.8131, 'fuzzy': 0.3902}"
Брусника,"Кисель ""Брусника-яблоко""",https://vkusvill.ru/goods/kisel-brusnika-yabloko-250-ml-106616.html,Напитки,"Компоты, кисели, сбитни",1.9766,"{'title_overlap': 0.3333, 'vec_sim': 0.4963, 'fuzzy': 0.5}"
Брусника,"Основа для морса ""Брусника""",https://vkusvill.ru/goods/osnova-dlya-morsa-brusnika-82802.html,Напитки,Морсы,1.9393,"{'title_overlap': 0.25, 'vec_sim': 0.5576, 'fuzzy': 0.4571}"
Брусника,"Мармелад фруктовый ""Брусника""",https://vkusvill.ru/goods/marmelad-fruktovyy-brusnika-95762.html,Сладости и десерты,"Зефир, пастила, безе и мармелад",1.8019,"{'title_overlap': 0.3333, 'vec_sim': 0.4555, 'fuzzy': 0.4324}"
Брусника,"Морс брусника,клюква,черника 0,33, кафе",https://vkusvill.ru/goods/mors-brusnika-klyukva-chernika-0-33-kafe-27671.html,Кафе,Напитки,1.7629,"{'title_overlap': 0.1429, 'vec_sim': 0.6163, 'fuzzy': 0.3404}"
Брусника,"Лимонад ""Малина-брусника""",https://vkusvill.ru/goods/limonad-malina-brusnika-320-ml-73832.html,Напитки,"Лимонады, газировка",1.7596,"{'title_overlap': 0.3333, 'vec_sim': 0.3883, 'fuzzy': 0.4848}"
Брусника,Клюква,https://vkusvill.ru/goods/klyukva-250-g-99904.html,"Овощи, фрукты, ягоды, зелень",Ягоды,1.7255,"{'title_overlap': 0.0, 'vec_sim': 0.7205, 'fuzzy': 0.2857}"
Брусника,"Кисель брикет ""Клюква""",https://vkusvill.ru/goods/kisel-briket-klyukva-38180.html,Напитки,"Компоты, кисели, сбитни",1.7134,"{'title_overlap': 0.0, 'vec_sim': 0.7297, 'fuzzy': 0.2667}"
Брусника,Клюква свежезамороженная,https://vkusvill.ru/goods/klyukva-svezhezamorozhennaya-913.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",1.6238,"{'title_overlap': 0.0, 'vec_sim': 0.7458, 'fuzzy': 0.1875}"
Брусника,"Черника, свежезамороженная",https://vkusvill.ru/goods/chernika-svezhezamorozhennaya-915.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",1.5642,"{'title_overlap': 0.0, 'vec_sim': 0.6239, 'fuzzy': 0.2941}"
Брусника,Клюква вяленая,https://vkusvill.ru/goods/klyukva-vyalenaya-20639.html,"Орехи, чипсы и снеки",Сухофрукты,1.4646,"{'title_overlap': 0.0, 'vec_sim': 0.5864, 'fuzzy': 0.2727}"
Брусника,"Облепиха, свежезамороженная",https://vkusvill.ru/goods/oblepikha-svezhezamorozhennaya-19688.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",1.4262,"{'title_overlap': 0.0, 'vec_sim': 0.6019, 'fuzzy': 0.2286}"
Баклажан,Аге кани сандочи,https://vkusvill.ru/goods/age-kani-sandochi-258129.html,Готовая еда,Роллы и сеты,0.3333,{'fallback': True}
Буженина,Буженина варено-копченая из мяса индейки,https://vkusvill.ru/goods/buzhenina-vareno-kopchenaya-iz-myasa-indeyki-350-g-66853.html,"Колбаса, сосиски, деликатесы",Мясные деликатесы,2.9669,"{'title_overlap': 0.1667, 'vec_sim': 0.7224, 'fuzzy': 1.0}"
Буженина,Буженина свиная запеченная,https://vkusvill.ru/goods/buzhenina-svinaya-zapechennaya-106310.html,"Колбаса, сосиски, деликатесы",Мясные деликатесы,2.7883,"{'title_overlap': 0.3333, 'vec_sim': 0.5305, 'fuzzy': 1.0}"
Буженина,Буженина из мяса индейки,https://vkusvill.ru/goods/buzhenina-iz-myasa-indeyki-300-g-80731.html,"Колбаса, сосиски, деликатесы",Вместо колбасы,2.7325,"{'title_overlap': 0.25, 'vec_sim': 0.5458, 'fuzzy': 1.0}"
Буженина,Буженина с перцем и чесноком,https://vkusvill.ru/goods/buzhenina-s-pertsem-i-chesnokom-ves-101249.html,"Мясо, птица",Котлеты и полуфабрикаты,2.6064,"{'title_overlap': 0.2, 'vec_sim': 0.5036, 'fuzzy': 1.0}"
Буженина,Буженина варено-копченая Егорьевская ФКГ по-домашнему нарезка,https://vkusvill.ru/goods/buzhenina-vareno-kopchenaya-egorevskaya-fkg-po-domashnemu-narezka-115-g-49293.html,Деликатесы,Деликатесы,2.5393,"{'title_overlap': 0.125, 'vec_sim': 0.5079, 'fuzzy': 1.0}"
Буженина,"Буженина запеченная, нарезка",https://vkusvill.ru/goods/buzhenina-zapechennaya-narezka-25155.html,"Колбаса, сосиски, деликатесы",Нарезки,2.4294,"{'title_overlap': 0.3333, 'vec_sim': 0.3312, 'fuzzy': 1.0}"
Буженина,"Буженина ""Сочная"" для запекания",https://vkusvill.ru/goods/buzhenina-sochnaya-dlya-zapekaniya-103904.html,"Мясо, птица",Мясо для запекания,2.339,"{'title_overlap': 0.25, 'vec_sim': 0.3272, 'fuzzy': 1.0}"
Буженина,Грудинка варено-копченая,https://vkusvill.ru/goods/grudinka-vareno-kopchenaya-300-g-90075.html,"Колбаса, сосиски, деликатесы",Мясные деликатесы,1.5131,"{'title_overlap': 0.0, 'vec_sim': 0.5802, 'fuzzy': 0.3125}"
Буженина,Уши свиные варено-копченые с чесноком,https://vkusvill.ru/goods/ushi-svinye-vareno-kopchenye-s-chesnokom-83577.html,"Орехи, чипсы и снеки","Снеки мясные, рыбные, сырные",1.3778,"{'title_overlap': 0.0, 'vec_sim': 0.6173, 'fuzzy': 0.1778}"
Буженина,"""Буженина для запекания"" из бедра индейки",https://vkusvill.ru/goods/buzhenina-dlya-zapekaniya-iz-bedra-indeyki-82153.html,"Мясо, птица",Индейка,1.331,"{'title_overlap': 0.1667, 'vec_sim': 0.3747, 'fuzzy': 0.3265}"
Буженина,Голубцы ленивые из мяса птицы,https://vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-107205.html,Вторые блюда,Вторые блюда с птицей,1.2469,"{'title_overlap': 0.0, 'vec_sim': 0.4675, 'fuzzy': 0.2703}"
Буженина,Голубцы ленивые из мяса птицы,https://vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-600-g-65276.html,"Больше белка, меньше калорий",Больше белка,1.2469,"{'title_overlap': 0.0, 'vec_sim': 0.4675, 'fuzzy': 0.2703}"
Буженина,Ребра Свиные варено-копченые Дымленка ~,https://vkusvill.ru/goods/rebra-svinye-vareno-kopchenye-dymlenka-500-g-96896.html,Деликатесы,Деликатесы,1.2329,"{'title_overlap': 0.0, 'vec_sim': 0.5431, 'fuzzy': 0.1702}"
Буженина,Краб опилио варено-мороженый конечности,https://vkusvill.ru/goods/krab-opilio-vareno-morozhenyy-konechnosti-400-g-71281.html,"Рыба, икра и морепродукты",Морепродукты замороженные,1.2188,"{'title_overlap': 0.0, 'vec_sim': 0.4998, 'fuzzy': 0.2128}"
Буженина,Деликатес варено-копченый Дымов из мяса птицы с индейкой,https://vkusvill.ru/goods/delikates-vareno-kopchenyy-dymov-iz-myasa-ptitsy-s-indeykoy-400-g-115649.html,Деликатесы,Деликатесы,1.2134,"{'title_overlap': 0.0, 'vec_sim': 0.5439, 'fuzzy': 0.1562}"
Буженина,Биточки из мяса индейки,https://vkusvill.ru/goods/bitochki-iz-myasa-indeyki-65513.html,"Мясо, птица",Котлеты и полуфабрикаты,1.1992,"{'title_overlap': 0.0, 'vec_sim': 0.4512, 'fuzzy': 0.2581}"
Буженина,Сервелат ТАВР Финский,https://vkusvill.ru/goods/servelat-tavr-finskiy-350-g-104804.html,"Колбаса, ветчина","Колбаса, ветчина",1.1488,"{'title_overlap': 0.0, 'vec_sim': 0.4658, 'fuzzy': 0.2069}"
Буженина,Колбаса варено-копченая Ближние горки Сервелат Гурман,https://vkusvill.ru/goods/kolbasa-vareno-kopchenaya-blizhnie-gorki-servelat-gurman-500-g-63233.html,"Колбаса, ветчина","Колбаса, ветчина",1.1284,"{'title_overlap': 0.0, 'vec_sim': 0.4356, 'fuzzy': 0.2295}"
