ingredient,match_title,match_category,match_subcategory,match_id,score,reasons
Семечки тыквенные,Семечки тыквенные От Мартина неочищенные обжаренные,"Орехи, семечки","Орехи, семечки",7424.0,3.5755,"{'title_overlap': 0.3333, 'vec_sim': 0.9679, 'fuzzy': 1.0}"
Семечки тыквенные,Семечки тыквенные обжаренные с солью,"Орехи, чипсы и снеки",Семечки и семена,7423.0,3.4103,"{'title_overlap': 0.4, 'vec_sim': 0.8391, 'fuzzy': 1.0}"
Семечки тыквенные,Семечки тыквенные От Мартина неочищенные с солью обжаренные,"Орехи, семечки","Орехи, семечки",7425.0,3.3782,"{'title_overlap': 0.25, 'vec_sim': 0.9045, 'fuzzy': 1.0}"
Сайра,Сайра натуральная,"Рыба, икра и морепродукты",Рыбные консервы,7369.0,3.5926,"{'title_overlap': 0.5, 'vec_sim': 0.8848, 'fuzzy': 1.0}"
Сайра,Сайра тихоокеанская натуральная кусочки ж/б,Консервы,Рыбные консервы,7370.0,3.0812,"{'title_overlap': 0.1667, 'vec_sim': 0.7859, 'fuzzy': 1.0}"
Сайра,Котлета натуральная,"Мясо, птица",Котлеты и полуфабрикаты,3549.0,1.9323,"{'title_overlap': 0.0, 'vec_sim': 0.8652, 'fuzzy': 0.25}"
Морковь,Морковь,Овощи,"Морковь, свекла",4872.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Морковь,Морковь желтая,Овощи,"Морковь, свекла",4885.0,3.7997,"{'title_overlap': 0.5, 'vec_sim': 0.9999, 'fuzzy': 1.0}"
Морковь,Морковь отварная,Овощи,Овощи отварные,4879.0,3.7914,"{'title_overlap': 0.5, 'vec_sim': 0.9952, 'fuzzy': 1.0}"
Утка,Паштет Рублевский мясной деликатесный Утка с черносливом,Паштеты,Паштеты,5878.0,3.0236,"{'title_overlap': 0.1429, 'vec_sim': 0.7671, 'fuzzy': 1.0}"
Утка,"Утка сыровяленая по технологии ""Хамон""","Колбаса, сосиски, деликатесы",Нарезки,9649.0,2.7208,"{'title_overlap': 0.2, 'vec_sim': 0.5671, 'fuzzy': 1.0}"
Утка,"Паштет мясной ""Муссовый""","Колбаса, сосиски, деликатесы",Паштеты и риеты,5874.0,1.5496,"{'title_overlap': 0.0, 'vec_sim': 0.7418, 'fuzzy': 0.1429}"
Паприка сладкая,Приправа Готовим вместе Паприка сладкая молотая,Специи,Специи,6812.0,2.9212,"{'title_overlap': 0.3333, 'vec_sim': 0.6044, 'fuzzy': 1.0}"
Паприка сладкая,Паприка молотая,"Масла, соусы, специи, сахар и соль",Специи,5839.0,2.6173,"{'title_overlap': 0.3333, 'vec_sim': 0.6577, 'fuzzy': 0.7333}"
Паприка сладкая,Кукуруза Бондюэль сладкая,Консервация,"Горошек, кукуруза, фасоль",3863.0,2.2866,"{'title_overlap': 0.25, 'vec_sim': 0.6011, 'fuzzy': 0.6364}"
Мастика,Аджика,Консервация,"Хумус, закуски и соленья",5.0,0.1846,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1846}"
Сыр колбасный,Сыр плавленый колбасный копченый,Сыры,Творожные и плавленые сыры,8872.0,3.1699,"{'title_overlap': 0.5, 'vec_sim': 0.65, 'fuzzy': 1.0}"
Сыр колбасный,"Сыр ""Голландский""",Сыры,Твердые и полутвердые,8729.0,3.0182,"{'title_overlap': 0.3333, 'vec_sim': 0.9916, 'fuzzy': 0.6}"
Сыр колбасный,"Сыр ""Монастырский""",Сыры,Твердые и полутвердые,8786.0,2.9891,"{'title_overlap': 0.3333, 'vec_sim': 0.9916, 'fuzzy': 0.5806}"
Укроп,Укроп,Зелень и салаты,Зелень,9604.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Укроп,Укроп,Зелень и салаты,Зелень,9602.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Укроп,Укроп,Зелень и салаты,Зелень,9601.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Фруктоза,Арбуз,Фрукты,Арбузы и дыни,77.0,0.1385,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1385}"
Глюкоза,Авокадо Хасс,"Овощи, фрукты, ягоды, зелень",Авокадо,146.0,0.0947,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.0947}"
Цесарка,Аджика,Консервация,"Хумус, закуски и соленья",5.0,0.1385,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1385}"
Сахар коричневый,Сахар кокосовый,"Масла, соусы, специи, сахар и соль","Сахар, заменители и сиропы",7189.0,2.9407,"{'title_overlap': 0.3333, 'vec_sim': 0.8572, 'fuzzy': 0.7097}"
Сахар коричневый,Сахар-песок Русский сахар,Сахар и сахарозаменители,Сахар и сахарозаменители,7198.0,2.7557,"{'title_overlap': 0.25, 'vec_sim': 0.9952, 'fuzzy': 0.4762}"
Сахар коричневый,Сахар тростниковый нерафинированный,"Масла, соусы, специи, сахар и соль","Сахар, заменители и сиропы",7208.0,2.7556,"{'title_overlap': 0.25, 'vec_sim': 0.9952, 'fuzzy': 0.4762}"
Кондитерское изделие,"Изделие х/б ""Рустик""",Хлеб и выпечка,Хлеб на закваске,2230.0,2.6832,"{'title_overlap': 0.2, 'vec_sim': 0.9212, 'fuzzy': 0.55}"
Кондитерское изделие,"Изделие х/б ""Нутовый""",Хлеб и выпечка,Хлебцы,2223.0,2.6631,"{'title_overlap': 0.2, 'vec_sim': 0.9212, 'fuzzy': 0.5366}"
Кондитерское изделие,"Изделие х/б ""Кефирный""",Растительное и с содержанием молока,Хлеб и мучное,2218.0,2.6419,"{'title_overlap': 0.2, 'vec_sim': 0.9201, 'fuzzy': 0.5238}"
Мука блинная,Мука миндальная,"Крупы, макароны, мука",Мука и ингредиенты для выпечки,5083.0,3.2314,"{'title_overlap': 0.3333, 'vec_sim': 0.9928, 'fuzzy': 0.7407}"
Мука блинная,Мука рисовая,"Крупы, макароны, мука",Мука и ингредиенты для выпечки,5094.0,3.1187,"{'title_overlap': 0.3333, 'vec_sim': 0.9919, 'fuzzy': 0.6667}"
Мука блинная,Мука овсяная,"Крупы, макароны, мука",Мука и ингредиенты для выпечки,5085.0,3.0013,"{'title_overlap': 0.3333, 'vec_sim': 0.9267, 'fuzzy': 0.6667}"
Лук репчатый,Лук репчатый,Овощи,"Лук, чеснок, имбирь",4188.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Лук репчатый,Лук репчатый зам,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",4189.0,3.7385,"{'title_overlap': 0.6667, 'vec_sim': 0.8732, 'fuzzy': 1.0}"
Лук репчатый,Лук крымский,Овощи,"Лук, чеснок, имбирь",4186.0,3.0078,"{'title_overlap': 0.3333, 'vec_sim': 0.9997, 'fuzzy': 0.5833}"
Сироп ягодный,Морс ягодный сбор,Напитки,Морсы,5047.0,2.3509,"{'title_overlap': 0.25, 'vec_sim': 0.5838, 'fuzzy': 0.7}"
Сироп ягодный,Морс ягодный концентрированный,Напитки,Морсы,5045.0,2.3314,"{'title_overlap': 0.25, 'vec_sim': 0.573, 'fuzzy': 0.7}"
Сироп ягодный,Морс ягодный микс газированный,Напитки,Морсы,5046.0,2.1893,"{'title_overlap': 0.2, 'vec_sim': 0.5219, 'fuzzy': 0.7}"
Филе рыбное,"Осетр филе кусок, гк","Рыба, икра и морепродукты",Рыба и икра на развес,5740.0,2.5274,"{'title_overlap': 0.2, 'vec_sim': 0.8486, 'fuzzy': 0.5333}"
Филе рыбное,"Филе карпа, зам","Рыба, икра и морепродукты",Рыба замороженная,1594.0,2.4152,"{'title_overlap': 0.25, 'vec_sim': 0.7584, 'fuzzy': 0.5333}"
Филе рыбное,Карп филе зам,"Рыба, икра и морепродукты",Рыба замороженная,2403.0,2.3923,"{'title_overlap': 0.25, 'vec_sim': 0.7457, 'fuzzy': 0.5333}"
Черемуха,Аджика сухая зеленая,"Масла, соусы, специи, сахар и соль",Специи,9.0,0.1071,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1071}"
Фасоль консервированная,Фасоль Бондюэль красная,Консервация,"Горошек, кукуруза, фасоль",1536.0,2.7326,"{'title_overlap': 0.25, 'vec_sim': 0.872, 'fuzzy': 0.6087}"
Фасоль консервированная,Фасоль с овощами,Постное и веганское,"Консервы, закуски и соленья",1549.0,2.6049,"{'title_overlap': 0.25, 'vec_sim': 0.8382, 'fuzzy': 0.5641}"
Фасоль консервированная,"Фасоль стручковая крупная, с овощами",Консервация,"Горошек, кукуруза, фасоль",1550.0,2.5717,"{'title_overlap': 0.1667, 'vec_sim': 0.8842, 'fuzzy': 0.5424}"
Ассорти мясное,Любмени мясное ассорти с Моцареллой,"Пельмени, вареники, хинкали",С мясом и птицей,4212.0,3.5253,"{'title_overlap': 0.4, 'vec_sim': 0.9029, 'fuzzy': 1.0}"
Ассорти мясное,Ассорти соленое,Консервация,"Хумус, закуски и соленья",135.0,3.3534,"{'title_overlap': 0.3333, 'vec_sim': 0.9882, 'fuzzy': 0.8276}"
Ассорти мясное,Ассорти ягодное,"Овощи, фрукты, ягоды, зелень",Ягоды,137.0,3.2681,"{'title_overlap': 0.3333, 'vec_sim': 0.9408, 'fuzzy': 0.8276}"
Урюк,Арбуз Берёзка,Фрукты,Арбузы и дыни,79.0,0.1059,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1059}"
Раки,Аджика,Консервация,"Хумус, закуски и соленья",5.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
Асафетида,"Айс Латте малина-миндаль, кафе",Напитки,Холодный чай и кофе,187.0,0.1385,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1385}"
Сок гранатовый,Сок гранатовый прямого отжима,Напитки,Соки,8154.0,3.4589,"{'title_overlap': 0.5, 'vec_sim': 0.8105, 'fuzzy': 1.0}"
Сок гранатовый,Сок гранатовый прямого отжима,Напитки,Соки,8152.0,3.4589,"{'title_overlap': 0.5, 'vec_sim': 0.8105, 'fuzzy': 1.0}"
Сок гранатовый,Гранатовый сок прямого отжима,Напитки,Соки,1974.0,3.4589,"{'title_overlap': 0.5, 'vec_sim': 0.8105, 'fuzzy': 1.0}"
Тандури масала,"Приправа ""Тандури масала""","Масла, соусы, специи, сахар и соль",Специи,6827.0,2.7198,"{'title_overlap': 0.6667, 'vec_sim': 0.756, 'fuzzy': 0.4615}"
Тандури масала,Смесьеций гарам масала Золото Индии,Индилавка: вкусы мира,Пряности и специи,8003.0,2.2532,"{'title_overlap': 0.1667, 'vec_sim': 0.6592, 'fuzzy': 0.6}"
Тандури масала,"Приправа ""Аджика лайт""","Масла, соусы, специи, сахар и соль",Специи,6787.0,1.837,"{'title_overlap': 0.0, 'vec_sim': 0.6965, 'fuzzy': 0.3889}"
Компот,Компот ФрутоНяня с вишней и малиной с сахаром с 5 месяцев,Напитки,Напитки,3355.0,2.6662,"{'title_overlap': 0.1111, 'vec_sim': 0.5861, 'fuzzy': 1.0}"
Компот,Компот ФрутоНяня с яблоком изюмом и курагой без сахара с 6 месяцев,Напитки,Напитки,3356.0,2.5816,"{'title_overlap': 0.0909, 'vec_sim': 0.5504, 'fuzzy': 1.0}"
Компот,Компот из вишни,Напитки,"Компоты, кисели, сбитни",3357.0,2.5362,"{'title_overlap': 0.3333, 'vec_sim': 0.3905, 'fuzzy': 1.0}"
Хлебобулочные изделия,Макаронные изделия Бабочки,"Крупы, макароны, мука",Макароны,4264.0,3.0072,"{'title_overlap': 0.25, 'vec_sim': 0.9999, 'fuzzy': 0.6383}"
Хлебобулочные изделия,"Макаронные изделия ""агетти""","Крупы, макароны, мука",Макароны,4344.0,2.8595,"{'title_overlap': 0.25, 'vec_sim': 0.9983, 'fuzzy': 0.5417}"
Хлебобулочные изделия,"Макаронные изделия ""Алфавит""","Крупы, макароны, мука",Макароны,4263.0,2.8454,"{'title_overlap': 0.25, 'vec_sim': 0.9997, 'fuzzy': 0.5306}"
Паста кунжутная,Паста томатная,Консервация,Томатная паста,5938.0,3.1601,"{'title_overlap': 0.3333, 'vec_sim': 0.9957, 'fuzzy': 0.6897}"
Паста кунжутная,Паста томатная,"Масла, соусы, специи, сахар и соль",Соусы и уксус,5937.0,3.1601,"{'title_overlap': 0.3333, 'vec_sim': 0.9957, 'fuzzy': 0.6897}"
Паста кунжутная,"Паста ""Орзо""","Крупы, макароны, мука",Макароны,5913.0,3.0135,"{'title_overlap': 0.3333, 'vec_sim': 0.9988, 'fuzzy': 0.5882}"
Сливки кокосовые,Кокосовые сливки KATI 24% Tetra Pak,Азиатская кухня,Азиатская кухня,3096.0,3.4159,"{'title_overlap': 0.3333, 'vec_sim': 0.8792, 'fuzzy': 1.0}"
Сливки кокосовые,Сливки 35%,"Молочные продукты, яйцо","Молоко, сливки, сгущёнка",7866.0,3.234,"{'title_overlap': 0.3333, 'vec_sim': 0.9865, 'fuzzy': 0.75}"
Сливки кокосовые,Сливки 30%,"Молочные продукты, яйцо","Молоко, сливки, сгущёнка",7865.0,3.2184,"{'title_overlap': 0.3333, 'vec_sim': 0.9778, 'fuzzy': 0.75}"
Крекер,"Крекер ""Хрустящий улов""",Сладости и десерты,Печенье,3678.0,3.3846,"{'title_overlap': 0.3333, 'vec_sim': 0.8618, 'fuzzy': 1.0}"
Крекер,"Крекер ""Хрустящий"" с солью",Сладости и десерты,Печенье,3677.0,2.9534,"{'title_overlap': 0.25, 'vec_sim': 0.6686, 'fuzzy': 1.0}"
Крекер,Крекер Tuc с солью,"Печенье, крекеры","Печенье, крекеры",3685.0,2.9379,"{'title_overlap': 0.25, 'vec_sim': 0.66, 'fuzzy': 1.0}"
Телятина,Телятина тазобедренная,"Мясо, птица",Говядина и телятина,9137.0,3.7658,"{'title_overlap': 0.5, 'vec_sim': 0.981, 'fuzzy': 1.0}"
Телятина,Телятина шея охлажденная,"Мясо, птица",Говядина и телятина,9136.0,3.2146,"{'title_overlap': 0.3333, 'vec_sim': 0.7674, 'fuzzy': 1.0}"
Телятина,Телятина голяшка охлажденная,"Мясо, птица",Говядина и телятина,9132.0,3.0342,"{'title_overlap': 0.3333, 'vec_sim': 0.6671, 'fuzzy': 1.0}"
Кальмар,Кальмар командорский тушка очищенная судовой заморозки,"Рыба, икра и морепродукты",Морепродукты замороженные,2294.0,3.3571,"{'title_overlap': 0.1667, 'vec_sim': 0.9391, 'fuzzy': 1.0}"
Кальмар,Кальмар командорский щупальца зам,"Рыба, икра и морепродукты",Морепродукты замороженные,2292.0,3.3257,"{'title_overlap': 0.25, 'vec_sim': 0.8754, 'fuzzy': 1.0}"
Кальмар,Кальмар командорский тушка очищенная зам,"Рыба, икра и морепродукты",Морепродукты замороженные,2296.0,3.3127,"{'title_overlap': 0.2, 'vec_sim': 0.896, 'fuzzy': 1.0}"
Чипсы,Чипсы лососевые,"Рыба, икра и морепродукты","Рыба вяленая, снеки",1166.0,3.799,"{'title_overlap': 0.5, 'vec_sim': 0.9995, 'fuzzy': 1.0}"
Чипсы,Чипсы Салями,"Колбаса, сосиски, деликатесы",Мясные снеки и колбаски,1191.0,3.7395,"{'title_overlap': 0.5, 'vec_sim': 0.9664, 'fuzzy': 1.0}"
Чипсы,Чипсы яблочные,"Орехи, чипсы и снеки",Снеки из фруктов и овощей,1194.0,3.7276,"{'title_overlap': 0.5, 'vec_sim': 0.9598, 'fuzzy': 1.0}"
Клементин,Мандарины Клементин,Фрукты,Цитрусовые,4388.0,3.796,"{'title_overlap': 0.5, 'vec_sim': 0.9978, 'fuzzy': 1.0}"
Клементин,Мандарины крупные,Фрукты,Цитрусовые,4389.0,2.4833,"{'title_overlap': 0.0, 'vec_sim': 0.995, 'fuzzy': 0.4615}"
Клементин,Мандарины,Фрукты,Цитрусовые,4381.0,2.462,"{'title_overlap': 0.0, 'vec_sim': 0.9974, 'fuzzy': 0.4444}"
Детское питание,Печенье детское Фрутоняня овсяное с 12 месяцев,"Детское печенье, снэки и сладости","Детское печенье, снэки и сладости",6025.0,2.2833,"{'title_overlap': 0.125, 'vec_sim': 0.6687, 'fuzzy': 0.6364}"
Детское питание,Молоко детское сухое NAN 3 с 12 месяцев,Сухие смеси,Сухие смеси,4812.0,2.2616,"{'title_overlap': 0.1111, 'vec_sim': 0.6644, 'fuzzy': 0.6364}"
Детское питание,"Печенье детское ""Крепышок""",Сладости и десерты,Печенье,6028.0,2.1818,"{'title_overlap': 0.25, 'vec_sim': 0.5429, 'fuzzy': 0.6364}"
Скумбрия,Скумбрия горячего копчения,"Рыба, икра и морепродукты",Рыба и икра на развес,7841.0,3.3708,"{'title_overlap': 0.3333, 'vec_sim': 0.8542, 'fuzzy': 1.0}"
Скумбрия,Скумбрия холодного копчения кусочки,"Рыба, икра и морепродукты",Рыба солёная и копчёная,7843.0,3.2978,"{'title_overlap': 0.25, 'vec_sim': 0.8599, 'fuzzy': 1.0}"
Скумбрия,Скумбрия холодного копчения кусочки,"Растительное и с содержанием рыбы, яиц и молока",Рыба соленая и деликатесы,7842.0,3.2978,"{'title_overlap': 0.25, 'vec_sim': 0.8599, 'fuzzy': 1.0}"
Эклеры,Эклеры сырные,Сладости и десерты,Пирожные и десерты,1454.0,3.7995,"{'title_overlap': 0.5, 'vec_sim': 0.9997, 'fuzzy': 1.0}"
Эклеры,Эклеры с заварным кремом,Сладости и десерты,Пирожные и десерты,1452.0,2.957,"{'title_overlap': 0.25, 'vec_sim': 0.6706, 'fuzzy': 1.0}"
Эклеры,"Эклеры ""Пломбир""",Сладости и десерты,Пирожные и десерты,1451.0,2.8642,"{'title_overlap': 0.5, 'vec_sim': 0.4801, 'fuzzy': 1.0}"
Огурец маринованный,Перчик халапеньо маринованный,Консервация,"Огурцы, помидоры, каперсы",6310.0,2.418,"{'title_overlap': 0.25, 'vec_sim': 0.5593, 'fuzzy': 0.7742}"
Огурец маринованный,Имбирь Чим-Чим маринованный,Азиатская кухня,Азиатская кухня,2161.0,2.2045,"{'title_overlap': 0.25, 'vec_sim': 0.4406, 'fuzzy': 0.7742}"
Огурец маринованный,Салат из соевойаржи с соусом маринованный по-корейски,Консервация,"Хумус, закуски и соленья",7243.0,2.1009,"{'title_overlap': 0.1111, 'vec_sim': 0.4603, 'fuzzy': 0.7742}"
Белорыбица,Арбуз Иран,Фрукты,Арбузы и дыни,81.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
Краб,Крабовое мясо Снежный краб,"Рыба, икра и морепродукты",Крабовые палочки и крабы,3663.0,3.2821,"{'title_overlap': 0.25, 'vec_sim': 0.8512, 'fuzzy': 1.0}"
Краб,Краб камчатский мясо коленца варено-мороженое,"Рыба, икра и морепродукты",Морепродукты замороженные,3656.0,2.9455,"{'title_overlap': 0.1667, 'vec_sim': 0.7105, 'fuzzy': 1.0}"
Краб,Краб камчатский мясо первой фаланги варено-мороженое,"Рыба, икра и морепродукты",Морепродукты замороженные,3657.0,2.9258,"{'title_overlap': 0.1429, 'vec_sim': 0.7128, 'fuzzy': 1.0}"
Гвоздика,Гвоздика,"Масла, соусы, специи, сахар и соль",Специи,2087.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Гвоздика,Приправа Готовим вместе Гвоздика целая,Специи,Специи,6811.0,2.9051,"{'title_overlap': 0.2, 'vec_sim': 0.6695, 'fuzzy': 1.0}"
Гвоздика,"Конфета ручной работы фруктово-ореховая ""Финик, миндаль, гвоздика"", кафе",Сладости и десерты,"Конфеты, карамель",3367.0,1.5928,"{'title_overlap': 0.1111, 'vec_sim': 0.6565, 'fuzzy': 0.2}"
Семечки,Семечки обжаренные отборные,"Орехи, чипсы и снеки",Семечки и семена,7409.0,3.5765,"{'title_overlap': 0.3333, 'vec_sim': 0.9684, 'fuzzy': 1.0}"
Семечки,Семечки жареные,"Орехи, чипсы и снеки",Семечки и семена,7426.0,3.3745,"{'title_overlap': 0.5, 'vec_sim': 0.7636, 'fuzzy': 1.0}"
Семечки,Семечки тыквенные От Мартина неочищенные обжаренные,"Орехи, семечки","Орехи, семечки",7424.0,3.3739,"{'title_overlap': 0.1667, 'vec_sim': 0.9485, 'fuzzy': 1.0}"
Эссенция,Ассорти из зелени,Зелень и салаты,Зелень,112.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
Окунь морской,Окунь морской потрошеный без головы зам,"Рыба, икра и морепродукты",Рыба замороженная,5625.0,3.0459,"{'title_overlap': 0.3333, 'vec_sim': 0.6736, 'fuzzy': 1.0}"
Окунь морской,"Окунь морской филе без кожи, зам","Рыба, икра и морепродукты",Рыба замороженная,5624.0,2.7861,"{'title_overlap': 0.3333, 'vec_sim': 0.5293, 'fuzzy': 1.0}"
Окунь морской,Крендельки ОГО! с морской солью,"Печенье, крекеры","Печенье, крекеры",3711.0,2.7412,"{'title_overlap': 0.1667, 'vec_sim': 0.847, 'fuzzy': 0.7}"
Кресс-салат,Салат Кейл,Зелень и салаты,"Салаты, салатные миксы",7249.0,3.2761,"{'title_overlap': 0.3333, 'vec_sim': 0.9999, 'fuzzy': 0.7619}"
Кресс-салат,Салат Фриллис,Зелень и салаты,"Салаты, салатные миксы",7220.0,3.1332,"{'title_overlap': 0.3333, 'vec_sim': 0.9999, 'fuzzy': 0.6667}"
Кресс-салат,Салат Айсберговой,Зелень и салаты,"Салаты, салатные миксы",7212.0,3.0707,"{'title_overlap': 0.3333, 'vec_sim': 0.9999, 'fuzzy': 0.625}"
Масло рапсовое,Масло рапсовое Ibero рафинированное с добавлением оливкового нерафинированного стекло,Другие масла,Другие масла,4564.0,3.2479,"{'title_overlap': 0.2222, 'vec_sim': 0.8476, 'fuzzy': 1.0}"
Масло рапсовое,Масло топленое,"Молочные продукты, яйцо",Масло сливочное,4589.0,1.8525,"{'title_overlap': 0.3333, 'vec_sim': 0.9749, 'fuzzy': 0.6429}"
Масло рапсовое,Масло икорное осетровое,"Рыба, икра и морепродукты","Паштеты, риеты рыбные",4510.0,1.8224,"{'title_overlap': 0.25, 'vec_sim': 0.9997, 'fuzzy': 0.6486}"
Руккола,Арбуз кубики,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,82.0,0.1263,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1263}"
Корица,Корица палочками,"Масла, соусы, специи, сахар и соль",Специи,3503.0,3.5111,"{'title_overlap': 0.5, 'vec_sim': 0.8395, 'fuzzy': 1.0}"
Корица,"Корица молотая, Шри-Ланка","Масла, соусы, специи, сахар и соль",Специи,3502.0,3.3929,"{'title_overlap': 0.25, 'vec_sim': 0.9127, 'fuzzy': 1.0}"
Корица,"Корица молотая, Шри-Ланка","Масла, соусы, специи, сахар и соль",Специи,3501.0,3.3929,"{'title_overlap': 0.25, 'vec_sim': 0.9127, 'fuzzy': 1.0}"
Навага,Айва,Фрукты,Прочие фрукты,223.0,0.18,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.18}"
Перепел,Апельсины крупные,Фрукты,Цитрусовые,51.0,0.125,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.125}"
Аджика,Аджика,Консервация,"Хумус, закуски и соленья",5.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Аджика,Аджика сухая зеленая,"Масла, соусы, специи, сахар и соль",Специи,9.0,3.1194,"{'title_overlap': 0.3333, 'vec_sim': 0.7145, 'fuzzy': 1.0}"
Аджика,Аджика / Соус Фирменный KERAKUR,Овощные консервы,Овощные консервы,6.0,2.6278,"{'title_overlap': 0.25, 'vec_sim': 0.4877, 'fuzzy': 1.0}"
Молоки рыбные,Пельмени рыбные из горбуши,Полуфабрикаты,"Пельмени, вареники, хинкали",6265.0,2.471,"{'title_overlap': 0.2, 'vec_sim': 0.7354, 'fuzzy': 0.6316}"
Молоки рыбные,Пельмени рыбные из тунца,Полуфабрикаты,"Пельмени, вареники, хинкали",6268.0,2.4158,"{'title_overlap': 0.2, 'vec_sim': 0.7047, 'fuzzy': 0.6316}"
Молоки рыбные,Пельмени рыбные из щуки,Полуфабрикаты,"Пельмени, вареники, хинкали",6266.0,2.4106,"{'title_overlap': 0.2, 'vec_sim': 0.7018, 'fuzzy': 0.6316}"
Овес,Ассорти овощное,Овощи,Помидоры,129.0,0.0947,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.0947}"
Тыква,Тыква,Овощи,"Кабачки, цукини, тыква",9582.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Тыква,Тыква Кабоча,Овощи,"Кабачки, цукини, тыква",9584.0,3.7995,"{'title_overlap': 0.5, 'vec_sim': 0.9997, 'fuzzy': 1.0}"
Тыква,Тыква Нельсон,Овощи,"Кабачки, цукини, тыква",9587.0,3.7995,"{'title_overlap': 0.5, 'vec_sim': 0.9997, 'fuzzy': 1.0}"
Крошка хлебная,"Тесто для печенья ""Шоколадная крошка"" зам",Замороженные продукты,Замороженное тесто,9146.0,2.2339,"{'title_overlap': 0.1429, 'vec_sim': 0.8587, 'fuzzy': 0.3636}"
Крошка хлебная,Тесто Фило охлажденное BulgarFood Фамилия,"Тесто, выпечка, лапша","Тесто, выпечка, лапша",9151.0,2.0928,"{'title_overlap': 0.0, 'vec_sim': 0.9505, 'fuzzy': 0.2545}"
Крошка хлебная,Тесто Bontier Катаифи замороженное,"Тесто, выпечка, лапша","Тесто, выпечка, лапша",9139.0,2.0716,"{'title_overlap': 0.0, 'vec_sim': 0.9426, 'fuzzy': 0.25}"
Мандарин,"Желе ""Шарики"" мандарин","Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,10421.0,3.1687,"{'title_overlap': 0.3333, 'vec_sim': 0.7419, 'fuzzy': 1.0}"
Мандарин,Лимонад Borjomi Limonati by Мандарин,Газированные напитки,Газированные напитки,4103.0,2.6519,"{'title_overlap': 0.2, 'vec_sim': 0.5288, 'fuzzy': 1.0}"
Мандарин,Мармелад Ростагрокомплекс Мандарин,"Десерты, сырки глазированные","Десерты, сырки глазированные",4456.0,2.6001,"{'title_overlap': 0.3333, 'vec_sim': 0.426, 'fuzzy': 1.0}"
Булка,Арбуз Берёзка,Фрукты,Арбузы и дыни,79.0,0.1333,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1333}"
Нут,Нут продовольственный,Бакалея без глютена,Крупы,5554.0,3.7995,"{'title_overlap': 0.5, 'vec_sim': 0.9997, 'fuzzy': 1.0}"
Нут,Нут жареный,"Орехи, чипсы и снеки",Снеки,5556.0,3.2354,"{'title_overlap': 0.5, 'vec_sim': 0.6863, 'fuzzy': 1.0}"
Нут,Нут натуральный консервированный,Консервация,"Горошек, кукуруза, фасоль",5553.0,2.6996,"{'title_overlap': 0.3333, 'vec_sim': 0.4812, 'fuzzy': 1.0}"
Морская капуста,Морская капуста с фукусом,"Рыба, икра и морепродукты","Морская капуста, водоросли",5060.0,3.7258,"{'title_overlap': 0.5, 'vec_sim': 0.9588, 'fuzzy': 1.0}"
Морская капуста,Морская капуста хрустящая классическая,"Рыба, икра и морепродукты","Морская капуста, водоросли",5050.0,3.6669,"{'title_overlap': 0.5, 'vec_sim': 0.926, 'fuzzy': 1.0}"
