product_id,product_title,match_ingredient,score,reasons
10111,Яйцо куриное с0,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10112,Яйцо куриное с0,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10112,Яйцо куриное с0,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10112,Яйцо куриное с0,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10113,Яйцо куриное с0,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10113,Яйцо куриное с0,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10113,Яйцо куриное с0,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10114,Яйцо куриное с0,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10114,Яйцо куриное с0,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10114,Яйцо куриное с0,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10115,Яйцо куриное с0,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10115,Яйцо куриное с0,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10115,Яйцо куриное с0,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10116,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10116,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
